,Title,Keywords,Description,sector_agriculture,sector_LULUCF,matches,count_matches
7,"Land Use, Land Use Change and Forestry (LULUCF) (Decision No. 529/2013/EU on accounting rules on GHG emissions and removals resulting from activities relating to LULUCF and on information concerning actions relating to those activities)","Institutions / Administrative Arrangements, Redd+ And Lulucf","Harmonisation of accounting rules for emissions from land use, land use change and forestry. The objective is to include agriculture and forestry into European climate mitigation efforts.
This decision is a direct response to the UNFCCC decision in 2011 to revise the accounting rules for GHG emissions and removals from forests and soils. It meets international standards by maintaining the voluntary nature of accounting for draining and rewetting of wetlands, but goes beyond the UNFCCC decision by making accounting for cropland and grassland management mandatory for member states.
The new rules are intended to better recognise the efforts of farmers and forest owners to maintain carbon stored in soils and forests and to facilitate a more climate-friendly architecture (funds are available through the Common Agricultural Policy's Rural Development pillar), protecting water resources and biodiversity.
It also contains reporting requirements for Member States on their initiatives to decrease emissions from forestry and agriculture-related activities as well as increase the carbon sink.
The directive does not set targets for reducing GHG in agriculture and forestry as the accounting rules set out by this directive first need to prove to be sufficiently robust.",1,1,"'forestry', 'agricultural', 'agriculture'",8
19,Resolution no 107/2019 of the Council of Ministers approving the Long-Term Strategy for Carbon Neutrality of the Portuguese Economy in 2050,Net Zero,"<div>This resolution approves the Long-Term Strategy for Carbon Neutrality of the Portuguese Economy in 2050. This Strategy also constitutes the document being sent to the UNFCCC according to Portugal's international commitments. The document materialises the government's 2016 pledge to achieve carbon neutrality by the end of the period. The strategy explores the feasibility of trajectories that lead to carbon neutrality, identifies the main vectors of decarbonisation and estimates the reduction potential of the various sectors of the national economy, such as energy and industry, mobility and transport , agriculture, forests and other land uses, and waste and wastewater.<br><br>The resolution sets as an objective, for the purposes of the previous number, the reduction of GHG emissions for Portugal between 85% and 90% by 2050, compared to 2005, and the compensation of the remaining emissions through the use of soil and forests, to be achieved through a emission reduction trajectory between 45% and 55% by 2030, and between 65% and 75% by 2040, in relation to 2005.<br><br>The document details the following vectors of decarbonisation:<br>a) Decarbonise the production of electricity, eliminating the production of electricity from coal by 2030 and proceeding with the total decarbonization of the electricity system by 2050, betting on endogenous renewable resources;<br>b) Implement the energy transition, significantly increasing energy efficiency in all sectors of the economy, investing in the incorporation of endogenous renewable energy sources in final energy consumption, promoting electrification and adjusting the role of natural gas in the national energy system;<br>c) Progressively decentralize and democratize energy production, giving emphasis to the role of the consumer as an active part of the energy system;<br>d) Promote decarbonisation in the residential sector, favoring urban rehabilitation and increasing energy efficiency in buildings, promoting progressive electrification of the sector and the use of more efficient equipment, and combating energy poverty;<br>e) Decarbonise mobility, favoring the mobility system in public transport, through its strengthening and decarbonization of fleets, supporting innovative and intelligent solutions for multimodal, active, shared and sustainable mobility, as well as electric mobility and other technologies zero emissions, together with a reduction in the carbon intensity of sea and air transport, focusing on innovation, efficiency and cleaner, renewable fuels, as well as the decarbonisation of short- and long-distance transport of goods, promoting a logistical chain with a modal split that minimizes the carbon and energy intensity of the transport system, reaffirming the role of maritime and fluvial transport in conjunction with rail freight;<br>f) Promote the energy transition in industry, the incorporation of low carbon production processes and industrial symbiosis, promoting innovation and competitiveness;<br>g) Betting on sustainable agriculture, through the significant expansion of conservation agriculture and precision agriculture, substantially reducing emissions associated with livestock and the use of fertilizers and promoting innovation;<br>h) Foster carbon sequestration, through active agricultural and forest management, promoting the valorization of the territory;<br>i) Changing the paradigm of using resources in production and consumption, abandoning the linear economic model and moving to a circular and low carbon economic model;<br>j) Prevent the production of waste, increase recycling rates and very significantly reduce the deposition of waste in landfills;<br>k) Streamline the participation of cities and local administrations in decarbonisation, encouraging an integrated approach to its different vectors, in particular mobility, buildings, services and waste management, and enhancing the role they have been playing in mitigating climate change;<br>l) Stimulating research, innovation and knowledge production for neutrality in the various sectors of activity;<br>m) Make taxation an instrument for the transition to neutrality, proceeding with the elimination of environmentally harmful subsidies, reinforcing the application of the carbon tax and promoting greater taxation on the use of resources, recycling revenues for decarbonization and fair transition ;<br>n) Redirect financial flows to promote carbon neutrality, namely by promoting the development of a favorable framework for sustainable financing and greater involvement of the financial system, as well as the respective monitoring;<br>o) Promote the involvement of society in the transition, contributing to increase individual and collective action, the adoption of sustainable behaviors and the alteration of production and consumption patterns in favor of sustainability, namely through environmental education and awareness;<br>p) Promote the development of skills and (re) qualification directed towards new opportunities for economic development;<br>q) Encourage the development of the new economy linked to energy transition and decarbonisation, supporting the development of new industrial and service clusters, and the generation of new business opportunities;<br>r) Promote a fair and cohesive transition, which values ​​the territory, creates wealth, promotes employment and contributes to raising the standards of quality of life in Portugal.<br><br></div>",0,0,"'agricultural', 'agriculture'",5
59,"Climate Adaptation Strategy (Decree of the Ministry of Environment, Land and Sea 0000086/CLE)",Adaptation,"The Climate Adaptation Strategy establishes specific objectives to be reached by end of December 2016 and it is to be updated within 5 years.<br />
The National Adaptation Strategy provides an extensive knowledge on past, present and future climate change and on impacts/vulnerabilities to climate change of different sectors, including: water resources; desertification, soil degradation and drought; hydrogeological risks; biodiversity and ecosystems; health; forestry; agriculture, aquaculture, marine fishery; energy; coastal zones; tourism; urban settlements; and critical infrastructures.<br />
The Strategy also provides a national vision on how to address future impacts of climate change in various socio-economic sectors and natural systems and it in particular aims to:<br />
<br />
<ul><br />
<li>improve current knowledge on climate change and its impacts;</li><br />
<li>identify vulnerabilities and adaptation options for relevant natural and socio-economic systems, and describe opportunities that may be associated to climate change;</li><br />
<li>promote participation of stakeholders in defining strategies and sectoral adaptation plans to make later implementation more effective;</li><br />
<li>increase awareness about climate change risks and adaptation through a range of communication activities;</li><br />
<li>specify methods to be used to identify the best options for adaptation actions, also highlighting the co-benefits.</li><br />
</ul><br />
The Strategy sets the broad adaptation framework, but it is the Action Plan and sectoral plans that are to be adopted by December 2016 will define the timeline, quantifiable objectives and details of implementation.<br />
The National Adaptation Strategy also identifies areas where synergies between climate mitigation and adaptation actions could be exploited, including: energy and green buildings; food production and consumption; forestry and land-use; and water resources.",1,1,"'forestry', 'agriculture'",3
71,National Climate Adaptation Strategy,Adaptation,"This National Climate Adaptation Strategy introduces various new initiatives and will accelerate the progress of ongoing initiatives in the Netherlands.<br />
<br />
The NAS uses four diagrams (â€˜Hotter', â€˜Wetter', â€˜Drier' and â€˜Rising Sea Level') to visualize the effects of climate change within nine sectors: water and spatial management; nature; agriculture, horticulture and fisheries; health and welfare; recreation and tourism; infrastructure (road, rail, water and aviation); energy; IT and telecommunications; public safety and security.<br />
<br />
Six climate effects which call for immediate action are identified: 1) Greater heat stress leading to increased morbidity, hospital admissions and mortality,<br />
as well as reduced productivity, 2) More frequent failure of vital systems: energy, telecommunications, IT and transport<br />
infrastructures, 3) More frequent crop failures or other problems in the agricultural sector, such as<br />
decreased yields or damage to production resources, 4) Shifting climate zones whereby some flora and fauna species will be unable to migrate or<br />
adapt, due in part to the lack of an internationally coordinated spatial policy, 5) Greater health burden and loss of productivity due to possible increase in infectious<br />
diseases or allergic (respiratory) conditions such as hay fever, and 6) Cumulative effects whereby a systems failure in one sector or at one location triggers<br />
further problems elsewhere.",1,1,"'horticulture', 'agricultural', 'agriculture'",3
89,National Adaptation Programme (last version covering 2018-2023),Adaptation,"<div>The National Adaptation Programme (NAP) document - covering England only - sets out a register of actions agreed under the programme, aligns actions being taken with the risks identified in the 2012 Climate Change Risk Assessment (CCRA), and establishes timeframes for actions according to different themes.<br>&nbsp;<br>&nbsp;The NAP sets out actions according to six themes:<br>&nbsp;- Built environment<br>&nbsp;- Infrastructure<br>&nbsp;- Healthy and resilient communities<br>&nbsp;- Agriculture and forestry<br>&nbsp;- Natural environment<br>&nbsp;- Business and local government.<br>&nbsp;<br>&nbsp;The NAP identifies actions to be taken by the government, as well as by local governments, the private sector and civil society. The NAP focuses on particular areas of particular importance, guided by the CCRA's assessment of the magnitude, confidence and urgency scores assigned to particular risks.<br>&nbsp;<br>&nbsp;The NAP also sets out four overarching objectives to address the greatest risks and opportunities arising due to climate change:<br>&nbsp;- Increasing awareness<br>&nbsp;- Increasing resilience to current extremes<br>&nbsp;- Taking timely action for long-lead time measures<br>&nbsp;- Addressing major evidence gaps.<br>&nbsp;<br>&nbsp;On July 19th, 2018, a second version of the National Adaptation Programme was released. This version covers the period 2018-2023.</div>",0,1,"'forestry', 'agriculture'",2
131,Law of 17 April 2018 on territory planning,"Adaptation, Institutions / Administrative Arrangements, LULUCF, Energy Supply, Redd+ And Lulucf","This law updates the legal framework on land planning in the country, notably to ensure that sustainable development principles are enshrined into territorial activities.

Art. 1 states the specific objectives of the law, including:

Objective 3: preserve the landscapes by guaranteeing their integrity and by maintaining the agricultural and forestry functions, viticultural, ecological, recreational and climatic

Objective 8: maintain climatic regulation surfaces, ecological corridors between different habitats and natural biotopes, and

Objective 9: reduce greenhouse gas concentrations in the atmosphere, by organising natural carbon sequestration.

The document further defines land planning with regard to renewable energy projects.",1,1,"'forestry', 'agricultural'",2
145,Climate Action Plan 2050,"Industry, Energy Supply, Buildings, Redd+ And Lulucf, Transportation","Germany's Climate Action Plan 2050 outlines the process for achieving the country's climate targets for all sectors in line with the Paris Agreement, including energy, the built environment, transportation, industry and business and agriculture and forestry. The plan also outlines emissions reductions targets for individual sectors for 2030 and provides guidance for how to achieve those targets. The plan includes processes for monitoring progress and updating the plan if necessary in line with the five-yearly stocktake of the NDCs specified in the Paris Agreement. The main goal of the plan is to achieve carbon neutrality by 2050. The interim goal of the plan is to reduce Germany's total emissions by 55 percent by 2030, compared to 1990.

Concrete measures to achieve these targets laid out by the plan include: (1) establish a governmental commission to addressing the question of how to combat climate change while maintaining growth and development, (2) developing more robust energy standards for new buildings and those undergoing substantial renovation, (3) formulate a complete strategy for reducing emissions in the transportation sector, (4) launching a research and development programme aimed at reducing greenhouse gas emissions from industrial processes, (5) fully implement existing provisions governing fertiliser use, (6) improving carbon sequestration through afforestation, and (7) strengthen economic incentives, including taxes, to encourage polluters to reduce their emissions.",1,1,"'forestry', 'agriculture'",2
167,Strategy for the National Climate Change Management Policy until 2050,"Adaptation, Institutions / Administrative Arrangements, Research And Development, Carbon Pricing, Energy Supply, Energy Demand, Redd+ And Lulucf, Transportation","The National Strategy for the National Climate Change Management Policy is drafted according to Articles 3 and 4 of the Law of the Republic of Lithuania on Financial Instruments for Climate Change Management (Official Gazette, No 87-3662, 2009). The Strategy implements the EU Climate Change and Energy Package. The overall vision of the Strategy is that ""by 2050, Lithuania will have ensured adaptation of the sectors of the domestic economy to environmental changes caused by climate change and climate change mitigation (reduction of GHG emissions), developed competitive low-carbon economy, implemented eco- innovative technology, achieved energy generation and consumption efficiency and use of renewable energy sources in all sectors of the domestic economy(...)"".

The purpose of the Strategy is to develop and implement the Lithuanian climate change management policy and set short-term (by 2020), indicative medium-term (by 2030 and 2040) and long-term (by 2050) climate change mitigation and adaptation goals and objectives. These targets are detailed for several sectors, including land use, forestry, agriculture, energy, transport and industry.",1,1,"'forestry', 'agriculture'",2
211,Royal Decree creating the Interministerial Commission for Climate Change,Institutions / Administrative Arrangements,"Royal Decree 1886/2011, which establishes the delegated commissions of the Government, regulates in point three of the second additional provision the composition and functioning of the Interministerial Commission for Climate Change. The Interministerial Commission for Climate Change is chaired by the Minister of Agriculture, Food and Environment.",0,0,'agriculture',1
221,Royal Decree 564/2017 on the certification of energy efficiency in buildings (amending Royal Decree 235/2013),"Institutions / Administrative Arrangements, Energy Demand","This Decree establishes the technical and administrative conditions for certification of energy efficiency of buildings and the methodology for calculating its energy efficiency rating. The purpose of the basic procedure is to promote energy efficiency, using information on the energy characteristics of buildings, in the form of an energy performance certificate that must be provided to buyers and users.<br />
<br />
This basic procedure applies to new buildings; buildings or parts of buildings which are sold or leased to a new tenant, provided they do not hold a current certificate; and buildings or parts of buildings in which a public authority occupies a total useful floor area of 250 m2 and are frequently visited by the public. A series of exceptions to the procedure are detailed and include buildings officially protected as part of a specific environment or due to their architectural or historical value, in the case that the minimum energy performance requirements would alter their character or appearance. Other exceptions are buildings with a usable area smaller than 50 m2, and industrial, military and non-residential agricultural buildings that are already considered having a low energy demand.<br />
<br />
The Decree also establishes an Advisory Commission to certify the energy efficiency of buildings, responsible for advising the competent ministries in matters relating to the energy performance of buildings. One of the government representatives in this Commission is from the Spanish Climate Change Office.",1,0,'agricultural',1
