,abstract,title,matches,count_matches
19,"To produce early flowering genotypes, plum (Prunus domestica) was transformed with the poplar (Populus trichocarpa) Flowering Locus T1 (PtFT1) gene. Ectopic expression of 35S::PtFT1 Induced early flowering in vitro from transgenic plantlets within two months of transformation. When the transgenic plum plants were rooted and transferred to soil and grown in posts in the growth chamber, a number of additional lines flowered. Normal flowering and fruiting were observed in the greenhouse within one year of transformation. While dormancy was not necessary for growth or fruiting, FT plums were still winter hardy and floral bud set and flowering responded normally to changes in temperature. By manipulating a single gene, temperate tree crops can be effectively engineered for cultivation in new growing areas and for entirely new modes of agricultural production that are continuous, sustainable, and adaptable to climate change.",Development of very early flowering and normal fruiting plum with fertile seeds,"'cultivation', 'agricultural'",2
1136,"A process is described for the production of formaldehyde, comprising (a) subjecting methanol to oxidation with air in a formaldehyde production unit thereby producing a formaldehyde-containing stream; (b) separating said formaldehyde-containing stream into a formaldehyde product stream and a formaldehyde vent gas stream; wherein the vent gas stream, optionally after treatment in a vent gas treatment unit, is passed to one or more stages of: (i) synthesis gas generation, (ii) carbon dioxide removal, (iii) methanol synthesis or (iv) urea synthesis.",Process for the production of formaldehyde,,0
1318,"Membranes, methods of making the membranes, and methods of using the membranes are described. The membranes can comprise a support layer, and a selective polymer layer disposed on the support layer. The selective polymer layer can comprise an oxidatively stable carrier dispersed within a hydrophilic polymer matrix. The oxidatively stable carrier can be chosen from a quaternary ammonium hydroxide carrier (e.g., a mobile carrier such as a small molecule quaternary ammonium hydroxide, or a fixed carrier such as a quaternary ammonium hydroxide-containing polymer), a quaternary ammonium fluoride carrier (e.g., a mobile carrier such as a small molecule quaternary ammonium fluoride, or a fixed carrier such as a quaternary ammonium fluoride-containing polymer), and combinations thereof. The membranes can exhibit selective permeability to gases. The membranes can selectively remove carbon dioxide and/or hydrogen sulfide from hydrogen and/or nitrogen. Further, the membranes can exhibit oxidative stability at temperatures above 100° C.",Membranes for gas separation,,0
1320,"Methods, systems, and computer programs are presented for automated detection and mitigation of Denial of Service (DoS) attacks. One method includes an operation for collecting traffic data from service network routers that provide users access to a service. The traffic data is applied to security rules to identify a blacklist of illegitimate users to be blocked. Further, the method receives from the one or more servers a whitelist with information regarding legitimate users and their geographical location. A safe blacklist is determined for each router based on the blacklist and the whitelist, and the respective safe blacklist is sent to each router. Legitimate users are not blocked from accessing the service, but an illegitimate user spoofing a legitimate user is blocked by the routers when trying to access the service from a geographic location that is not the geographic location of the legitimate user.",Dynamic denial of service detection and automated safe mitigation,,0
2059,"Disclosed are waveguide distortion mitigation devices that produce reduced group delay ripple in communication systems in which they are used. The devices comprise a first and second tapered waveguide sections, a first coupling device coupled to the first tapered waveguide section, and a second coupling device coupled to the second tapered waveguide section and the first waveguide coupling device. A waveguide isolator may optionally be coupled between the first and second waveguide coupling devices. The first and second coupling devices may comprise waveguide circulators or waveguide-hybrid couplers. The tapered waveguide sections may embody a single transition comprising a single waveguide wall, a single transition comprising two waveguide walls, or a plurality of transitions comprising a plurality of waveguide walls.",Waveguide distortion mitigation devices with reduced group delay ripple,,0
2119,"Emission event data of an object of interest is acquired with a detector comprising a plurality of rings defining corresponding slices. Also, an amount of motion for each of a plurality of segments is determined with one or more processing units, wherein each segment corresponds to less than an axial field of view (AFOV) of the detector. Further, motion mitigation is performed for segments for which the amount of motion satisfies a threshold to provide motion mitigated data, and not performed for segments for which the amount of motion does not satisfy the threshold to provide non-mitigated data. An image is reconstructed using the motion mitigated data and the non-mitigated data, and the image is displayed on a display.",Systems and methods for motion mitigation determinations,,0
2139,"There is provided a method for producing a resin particle capable of unprecedentedly realizing both excellent heat resistant keeping property and melting property. The present invention is a method for producing a resin particle (X) comprising the step of treating a resin particle (B) containing a resin (A) composed of a crystalline part (a) containing, as an essential constitutional component, a lactone ring-opening polymer (p), and a noncrystalline part (b), with liquid or supercritical carbon dioxide (C), and removing (C), wherein a heat of fusion measured by differential scanning calorimetry (DSC) of the obtained (X) satisfies the following relational formula (1):0≦H2/H1≦0.9  (1)[in the relational formula (1), H1 represents a measurement value of a heat of fusion (J/g) at the time of the initial temperature elevation measured by DSC; and H2 represents a measurement value of a heat of fusion (J/g) at the time of the second temperature elevation measured by DSC].",Resin particle and method for producing the same,,0
2161,"A catalyst for reforming a hydrocarbon gas using carbon dioxide and/or water vapor to react while restraining the deposition of carbon contains a NiO—Sr2TiO4 solid solution in which NiO is dissolved in Sr2TiO4. The ratio of NiO in the NiO—Sr2TiO4 solid solution is preferably of 2.2 to 13.5 parts by mol relative to 100 parts by mol of Sr2TiO4. A catalyst which can contain SrTiO3, SrCO3, and fine grains of Ni and/or NiO are also described. A method of manufacturing the same, and a method of manufacturing a synthesized gas.","Catalyst for reforming hydrocarbon gas, method of manufacturing the same, and method of manufacturing synthesized gas",,0
2577,"A process for preparing a particle comprising a biological molecule typically a DNA plasmid, and a carrier polymer, typically poly-lactic acid (PLA), in which an organic solvent solution of the biological molecule and the carrier polymer in an organic solvent medium, nearly saturated with the biological molecule, is prepared, then this solution is contacted with an antisolvent substance, typically supercritical carbon dioxide to separate a particle comprising the biological molecule and the carrier polymer. High loadings of the biological molecule in the particle can be achieved.",Process for preparing a particle comprising a biological molecule and a carrier polymer,,0
2599,"The invention generally relates to ventilation systems and methods, and more particularly to selectively configurable climate control systems and methods for use in data centers and the like. A device includes a support element and a plurality of ducts connected to the support element. The device also includes a manifold in fluid communication with each one of the plurality of ducts and a plurality of valves. Each respective one of the plurality of valves is associated with a respective one of the plurality of ducts. Moreover, there is at least one actuator operatively connected to the plurality of valves, which is structured and arranged to individually actuate each one of the plurality of valves.",System and method to redirect and/or reduce airflow using actuators,,0
2670,"The present invention relates to a process for producing lower olefinic hydrocarbons by oxidative dehydrogenation of paraffinic lower hydrocarbons. More particularly the present invention provides a process for converting a feedstream comprising a paraffinic lower hydrocarbon and carbon dioxide to a product stream comprising an olefinic lower hydrocarbon and synthesis gas in the presence of the catalyst composition La—Mn/inert support, wherein said catalyst composition comprises 1-10 mass % lanthanum and 1-10 mass % manganese and optionally 0.3-3 mass % alkali metal.",Process for oxidative dehydrogenation of paraffinic lower hydrocarbons,,0
2790,"An exhaust gas aftertreatment system for an internal combustion engine, particularly for a ship's diesel engine operated with heavy oil, has a SCR catalyst that uses ammonia as reductant. A nozzle is positioned upstream of the SCR catalyst viewed in flow direction of the exhaust gas. Using the nozzle, an aqueous urea solution is decomposed at a defined pressure and at a defined temperature to form water vapor, carbon dioxide and ammonia vapor such that ammonia evaporated by the nozzle is injected into the exhaust gas via the nozzle.",Exhaust gas aftertreatment system and method for exhaust gas aftertreatment,,0
2805,"Systems, methods, and apparatus are described that employ specially designed interference patterns to build an in-band side channel without degrading the effective throughput of the main channel. Transmitter and receiver pairs implement a two-stage dynamic interference mitigation scheme based on the partial connections in limited dimension MIMO interference channels. The first stage determines the stream assignments and the subspace constraints for beamforming vectors and zero-forcing vectors based on the partially connected topology such as the path loss, shadowing and spatial correlation. The second stage determines the beamforming vectors and the zero-forcing vectors based on the instantaneous channel state information over the subspaces obtained from the first stage. In an aspect, a controller device implements the first and second stage and assigns the transmitter and receiver pairs to perform interference alignment using the stream assignments and beamforming and zero-forcing vectors respectively.",Dynamic interference alignment for partially connected quasi-static MIMO interference channel,,0
2808,"The method of performing peak reduction and clipping mitigation provides a compressive sensing algorithm at the receiver of a peak-reducing sparse clipper applied to an OFDM signal at the transmitter. By exploiting the sparsity of the OFDM signal in the time domain relative to a pre-defined clipping threshold, the method depends on partially observing the frequency content of extremely simple sparse clippers to recover the locations, magnitudes, and phases of the clipped coefficients of the peak-reduced signal.",Method of performing peak reduction and clipping mitigation,,0
